"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions","Link Clicks"
122104826343185509,61585565286734,"JuanKada Star","Star Babies! Abangan niyo ako sa Color Game from 6AM–2PM! ⭐️✨ 

Marami pang shining moments ang mangyayari kaya stay tuned! 😎

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,"01/02/2026 14:17",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02hRfpiAEgX1EBtChHBNzGB8qT5t9N6cT2LryxqGdZPy5qPLHRFMHRiVBT3nTkpR4Sl,0,0,Photos,,,,,Lifetime,558,280,18,16,0,2,19,8,11,,,,,,
122104633419185509,61585565286734,"JuanKada Star","Salamat sa lahat ng sumama sa amin nina Juankada Alexchoozy, at Juankada Papa Joe sa live kanina! 😎

Nag-enjoy ba kayo, Star Babies? 🌟 Abangan niyo lang kami palagi sa Color Game para sa mas maraming fun, tawa, at syempre surpresa pa rin sa inyo!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,"01/02/2026 02:11",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02ynAENL7KQagFPNKz6QL8xh82vNbeUQixupaNTV61EbzgqufrfLrvQYvNS42QcLpXl,0,0,Photos,,,,,Lifetime,346,154,20,17,2,1,31,20,11,,,,,,
122110228197144249,61584327477246,"Juankada Alexchoozy","Muli nating balikan ang makulay at masayang 𝑪𝒐𝒍𝒐𝒓 𝑮𝒂𝒎𝒆 kahapon! Isang solid na simula para sa unang araw ng 2026. Salamat Juankada sa walang kupas na saya at energy! 💖🔥

Comment kung nanuod ka | ❤️ React kung ready ulit!

#Juan365PH #ColorGame #JuankadaVibes #2026Start #AllInJuanLive #ColorfulDay #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness","Muli nating balikan ang makulay at masayang 𝑪𝒐𝒍𝒐𝒓 𝑮𝒂𝒎𝒆 kahapon! Isang solid na simula para sa unang araw ng 2026. Salamat Juankada sa walang kupas na saya at energy! 💖🔥

Comment kung nanuod ka | ❤️ React kung ready ulit!

#Juan365PH #ColorGame #JuankadaVibes #2026Start #AllInJuanLive #ColorfulDay #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaAlexchoozy #KaChooziness",55,"01/01/2026 18:40",N/A,https://www.facebook.com/reel/2236221213568818/,0,0,Videos,,,,,Lifetime,164,107,11,10,0,1,3,3,,1049.025,7.601,0,0,0
122110756959144249,61584327477246,"Juankada Alexchoozy","Good morning, Ka-Chooziness! ✨

Simula na ang good vibes at saya today dito sa Juan365 Colorgame Live. Catch us today from 6am to 2pm. Kasama sina Juankada Papa Joe, Juankada Jedi at JuanKada Star.

👉 Comment HERE kung present ka na at game na makilaro ⬇️

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",,0,"01/04/2026 15:03",N/A,https://www.facebook.com/JuankadaAlexchoozyOfficialPage/posts/pfbid02GLmpRTJCco9LE7WPxSx991E45r5brwULfRguatJpvqUvRSZoQX5VYr3oz4bWvsXCl,0,0,Photos,,,,,Lifetime,237,101,22,18,0,4,20,11,9,,,,,
122110670031144249,61584327477246,"Juankada Alexchoozy","BACK TO WORK","Tama na ang gala, back to ipon tayo. Monday na bukas, WORK na tayo ulit! Choozy paba??? 🤣 See you all tomorrow mga juankada!

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",29,"01/04/2026 06:32",N/A,https://www.facebook.com/reel/742473622254065/,0,0,Videos,,,,,Lifetime,74,51,11,9,1,1,1,1,,388.298,7.924,0,0,0
122110608825144249,61584327477246,"Juankada Alexchoozy","𝐆𝐮𝐬𝐭𝐨 𝐚𝐰𝐚𝐲!! 𝐊𝐚𝐢𝐧 𝐚𝐲𝐚𝐰? Aba, all in sa saya! 🎉","𝐆𝐮𝐬𝐭𝐨 𝐚𝐰𝐚𝐲!! 𝐊𝐚𝐢𝐧 𝐚𝐲𝐚𝐰? Aba, all in sa saya! 🎉

Tara na, Ka-Chooziness, mag-enjoy tayo! 🧡💙

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes #MakulayNaSaya #FunMode",29,"01/04/2026 02:00",N/A,https://www.facebook.com/reel/2231752854250733/,0,0,Videos,,,,,Lifetime,144,97,26,20,6,0,20,20,,1004.662,9.66,0,0,0
122110608717144249,61584327477246,"Juankada Alexchoozy","𝐋𝐞𝐭’𝐬 𝐝𝐚𝐧𝐜𝐞 𝐚𝐧𝐝 𝐞𝐧𝐣𝐨𝐲, 𝐊𝐚-𝐂𝐡𝐨𝐨𝐳𝐢𝐧𝐞𝐬𝐬","𝐋𝐞𝐭’𝐬 𝐝𝐚𝐧𝐜𝐞 𝐚𝐧𝐝 𝐞𝐧𝐣𝐨𝐲, 𝐊𝐚-𝐂𝐡𝐨𝐨𝐳𝐢𝐧𝐞𝐬𝐬!

Hit ❤️ kung ready ka na sa good vibes! ✨

 #JuankadaVibes #GoodVibesOnly #FeelTheVibes #DanceMode #JuankadaAlexchoozy #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",15,"01/03/2026 23:04",N/A,https://www.facebook.com/reel/1531720057942254/,0,0,Videos,,,,,Lifetime,248,156,20,17,3,0,30,30,,1715.315,10.031,0,0,0
122110581693144249,61584327477246,"Juankada Alexchoozy","𝑺𝑼𝑵𝑫𝑨𝒀 𝒊𝒔 💚","𝑺𝑼𝑵𝑫𝑨𝒀 𝒊𝒔 💚

Let’s make our SUNDAY a fruitful JUAN! Inhale, exhale at bukas, BACK to WORK na! Kayod na tayo ulit! See you tom mga ka-chooziness! All in JUAN sa SAYA ang everyJUAN! 🥰

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",34,"01/03/2026 19:16",N/A,https://www.facebook.com/reel/1882152469077005/,0,0,Videos,,,,,Lifetime,88,60,10,10,0,0,5,5,,582.941,8.096,0,0,0
122110541931144249,61584327477246,"Juankada Alexchoozy","COLORGAME ❤️💚🩷🤍💙💛","Ka-chooziness! It’s a COLORFUL SUNDAY! Ano sa tingen mo ang KULAY that best describes you? Pakulitan tayo ng sagot!

TARA! Magtawanan tayo 🤣

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",36,"01/03/2026 16:00",N/A,https://www.facebook.com/reel/1359256842547950/,0,0,Videos,,,,,Lifetime,94,65,12,11,0,1,4,4,,526.834,6.932,0,0,0
122110486545144249,61584327477246,"Juankada Alexchoozy","Ka-Chooziness! 6 colors, 1 choice anong trip mo ngayon?

Alin sa kulay ang swak sa feelings mo tonight? I-Comment na yan at piliin natin ang pinaka nakakatawang sagot o hugot? 🤣

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes #ColorTrip #PinakaNakakatawa #CommentGame #FunVibes #TrendingNow",,0,"01/03/2026 06:19",N/A,https://www.facebook.com/JuankadaAlexchoozyOfficialPage/posts/pfbid05nm3nTP9ni5RLJxxEfGKTazGnWSrjxuDWVnX8PBxnDgDVnG9aiMejvLBqvo3MEL3l,0,0,Photos,,,,,Lifetime,376,176,19,14,2,3,11,1,10,,,,,
