"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Matched Audience Targeting Consumption (Video Click)","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
122185316624383179,61561495390240,"JUANKada Host Ikay",🫶🏻🫶🏻,,0,"01/09/2026 02:26",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid033PC36t9fBfgPS7FSCVz4moA7CvjAqpuAM7ZPUikX1X248cPJudhSjmP36nPc4Stol,0,1,Photos,,,,,Lifetime,116,54,4,4,0,0,8,3,3,2,,,,,,
122185306172383179,61561495390240,"JUANKada Host Ikay","Kikays, make sure maganda ang araw niyo! 😘 Spread love and good vibes! 🌸 Bukas uli 6am-2pm ☺️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Kikays, make sure maganda ang araw niyo! 😘 Spread love and good vibes! 🌸 Bukas uli 6am-2pm ☺️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",27,"01/08/2026 23:07",N/A,https://www.facebook.com/reel/1205261424435257/,0,0,Videos,,,,,Lifetime,972,296,58,44,10,4,37,37,,,,9082.953,12.142,0,0,0
122185292246383179,61561495390240,"JUANKada Host Ikay","Kikays, Kamusta kayo? 🌸

Join na sa Color Game, pumili ng tamang kulay at ipakita ang inyong Kikay power! 💅💖

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",,0,"01/08/2026 19:49",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0eihrsbKx1fATHym5dNymV6isLph5kSF4m2gD55c8GKhTf6Dz7v552FXmGAgb2Lbl,0,0,Photos,,,,,Lifetime,1943,727,52,37,13,2,237,106,131,,,,,,,
122185275254383179,61561495390240,"JUANKada Host Ikay","Juankada Alexchoozy Juankada host Drae",,0,"01/08/2026 15:17",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02mdYD88Q2c1XcXTc7Gs8kGRcz9Nf4TMTegNX6qHW23Z854Hn8dDMtxftQn61Dbb8ml,0,1,Photos,,,,,Lifetime,312,113,20,13,6,1,35,15,20,,,,,,,
122185209578383179,61561495390240,"JUANKada Host Ikay",🤗,,0,"01/07/2026 23:14",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02ZykGL26drWwtmkeAB5TojXrCL2gEqUT3pT8DEV7iEg1CXbLsYEd6p9L5nnEPR6uLl,0,1,Text,,,,,Lifetime,,113,17,13,4,0,15,15,,,,,,,,
122185202126383179,61561495390240,"JUANKada Host Ikay","Kikay’s, set your alarms na! ⏰‼️

Abangan niyo ako bukas sa Color Game! 6am-2pm 🤗🫶🏼

See you! 🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Kikay’s, set your alarms na! ⏰‼️

Abangan niyo ako bukas sa Color Game! 6am-2pm 🤗🫶🏼

See you! 🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",14,"01/07/2026 20:51",N/A,https://www.facebook.com/reel/1538065327450829/,0,0,Videos,,,,,Lifetime,878,278,64,46,16,2,34,34,,,,5569.575,8.897,0,0,0
122185101356383179,61561495390240,"JUANKada Host Ikay","To all my marilag kikays out there, never stop sparkling! 🌸✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","To all my marilag kikays out there, never stop sparkling! 🌸✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",36,"01/06/2026 22:35",N/A,https://www.facebook.com/reel/894560389655814/,0,0,Videos,,,,,Lifetime,2303,661,126,111,12,3,104,104,,,,29195.324,17.033,0,0,0
122184997124383179,61561495390240,"JUANKada Host Ikay","Ayaw kong nabibitin 🎶

Kaya watch me sa Color Game LIVE! Siguradong hindi ka mabibitin sa saya at premyo! 🎁

Download the Juan365 App sa Play Store and App Store na! 🎮

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Ayaw kong nabibitin 🎶

Kaya watch me sa Color Game LIVE! Siguradong hindi ka mabibitin sa saya at premyo! 🎁

Download the Juan365 App sa Play Store and App Store na! 🎮

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",16,"01/06/2026 02:55",N/A,https://www.facebook.com/reel/1217464026992525/,0,0,Videos,,,,,Lifetime,1104,362,56,44,9,3,49,49,,,,6700.102,8.111,0,0,0
122184985280383179,61561495390240,"JUANKada Host Ikay","Still me, just in different moods ✨

How’s your year so far, Kikays? So far so good? Drop a “💖” if yes!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,"01/06/2026 00:13",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02vSCtZ3BHW9i5Hj7WPGtmvz8AWfhp5qQuyVw7X9rnTfYXBtt7daibCG9uKsu8TbUjl,0,0,Photos,,,,,Lifetime,1742,751,33,30,1,2,118,32,86,,,,,,,
122184904130383179,61561495390240,"JUANKada Host Ikay","Shawty, I don’t mind 🎧

Don’t mind what they say, Kikays. Your glow, your rules. Be confident ✨🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Shawty, I don’t mind 🎧

Don’t mind what they say, Kikays. Your glow, your rules. Be confident ✨🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,"01/05/2026 04:15",N/A,https://www.facebook.com/reel/4167437183516019/,0,0,Videos,,,,,Lifetime,1980,658,70,65,2,3,43,43,,,,13189.613,9.242,0,0,0
122184886364383179,61561495390240,"JUANKada Host Ikay","Heads up, Kikays! 👀 

Live na ako now until 10PM!

Stay tuned and samahan ako sa saya! ✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,"01/05/2026 00:21",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0fGQiiLHx9UsH39Qu8uf7omUsnXMwCYiZhV1dUd4KQ7nQ83v9doMQW8UWF7rMctAhl,0,0,Photos,,,,,Lifetime,2591,1051,67,60,4,3,162,88,74,,,,,,,
122184789542383179,61561495390240,"JUANKada Host Ikay","And I'mma be your number one girl, always making time for you, Kikays! 🌸✨

Catch me LIVE NOW sa Color Game From 2PM to 10PM!

Don’t miss the fun, Kikays!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","And I'mma be your number one girl, always making time for you, Kikays! 🌸✨

Catch me LIVE NOW sa Color Game From 2PM to 10PM!

Don’t miss the fun, Kikays!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,"01/03/2026 23:21",N/A,https://www.facebook.com/reel/862805923201086/,0,0,Videos,,,,,Lifetime,1588,540,84,68,15,1,40,40,,,,9240.678,7.674,0,0,0
122184689018383179,61561495390240,"JUANKada Host Ikay","LIVE na ako, Kikays! 🌸

Watch me NOW para good vibes from afternoon hanggang gabi niyo ✨

Hihintayin ko kayo sa live ha! 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,"01/02/2026 23:44",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0oQR6dVtzQJmSja2bGMSkcP63pw6PDe8H2dwSv6C2KwstN6K1GF3oPXjzDnXRzBUyl,0,0,Photos,,,,,Lifetime,2383,857,72,54,13,5,104,76,28,,,,,,,
122184669344383179,61561495390240,"JUANKada Host Ikay","JUANKada Host Ikay updated their cover photo.",,0,"01/02/2026 18:39",N/A,https://www.facebook.com/photo.php?fbid=122184669344383179&set=a.122140909430383179&type=3,0,0,Photos,,,,,Lifetime,2,1,19,17,1,1,0,,,,,,,,,
122184577460383179,61561495390240,"JUANKada Host Ikay","Don't leave me dancin' alone 🎶🫶

Good thing sinamahan ako ni Juankada Lance sa trend na ‘to! 

Kanino mas bagay yung trend na 'to? Comment na, Kikays! 🌸

#Juan365Studios
#ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Don't leave me dancin' alone 🎶🫶

Good thing sinamahan ako ni @[61584243275518:2048:Juankada Lance] sa trend na ‘to! 

Kanino mas bagay yung trend na 'to? Comment na, Kikays! 🌸

#Juan365Studios
#ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",15,"01/01/2026 20:14",N/A,https://www.facebook.com/reel/856971900558109/,0,0,Videos,,,,,Lifetime,2643,1006,55,51,1,3,53,53,,,,18511.994,9.557,0,0,0
122104516509185509,61585565286734,"JuanKada Star","Star Babies, nasaan na kayo? 👀🔥

Tara na! Live na live ako now sa Color Game!

See you there! 😍

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,"01/01/2026 16:52",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid031DP47QhHhpbXfyaMfS3WoygXmva63o9vfT66dLZ9oQZkMEaXLmbbf7dC9fE98cFwl,0,0,Photos,,,,,Lifetime,1267,529,38,35,0,3,104,51,53,,,,,,,
122106635331185509,61585565286734,"JuanKada Star","Star Babies! 🌟

Ready na ba kayo? Mamaya, 10PM–6AM, sumali na at manood sa Color Game LIVE!

Kita-kits! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,"01/09/2026 07:08",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid032GeXs76rX1xQ2VqbxUTVWrrbFFhhaKxkDw5hSQuVUKCaseohMx9GRqaxXZhC5YtPl,0,0,Photos,,,,,Lifetime,290,129,33,21,6,6,42,13,29,,,,,,,
122106569619185509,61585565286734,"JuanKada Star","Star Babies! Nag-enjoy ba kayo sa live namin ni Juankada Host Shann kanina?

Drop a ""⭐️"" kung naka-nood kayo ng live kanina 👀✨

#Juan365 #Juan365Studios  #AllInJuanSaSaya #Juankada #JuankadaStar #JuankadaShann #StarBabies",,0,"01/09/2026 03:00",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0KjuD2fh4xTxEFdyHykTjTupSCVb1diy4sX8ha3r9eCrkx6krDCKWhxtp6EaiPP9bl,0,0,Photos,,,,,Lifetime,132,60,22,14,2,6,14,4,10,,,,,,,
