Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Link Clicks,Negative feedback from users: Hide all,Matched Audience Targeting Consumption (Video Click)
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"I got you, babe 💋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","I got you, babe 💋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/1/2026 3:07,N/A,https://www.facebook.com/reel/2137974016608757/,0,0,Videos,,,,,Lifetime,935,413,79,73,4,2,27,,27,0,6086.946,8.281,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,❤️,,0,1/31/2026 22:43,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0j2C3zdBV4T6TeyqJXbJ9Sv3LmTcm6wMBGCycrQ32psbHTVvvS4c8aX6pQik1YAYSl,0,1,Photos,,,,,Lifetime,298,133,7,7,0,0,8,5,3,0,,,,,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay updated their cover photo.,,0,1/31/2026 22:41,N/A,https://www.facebook.com/photo.php?fbid=122187456146383179&set=a.122140909430383179&type=3,0,0,Photos,,,,,Lifetime,1,1,14,12,2,0,0,,,0,,,,,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,Lets continue the goodvibes kikays.❤️,,0,1/31/2026 22:38,N/A,https://www.facebook.com/photo.php?fbid=122187455960383179&set=a.122102184470383179&type=3,0,0,Photos,,,,,Lifetime,272,135,15,14,1,0,9,1,8,0,,,,,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,11,1/31/2026 3:06,N/A,https://www.facebook.com/reel/1440787857457409/,1,0,Videos,,,,,Lifetime,1446,753,75,69,2,4,19,,19,0,6153.593,5.445,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Dancing like Shakira, stealing hearts like always 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Dancing like Shakira, stealing hearts like always 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/30/2026 19:02,N/A,https://www.facebook.com/reel/1549524326351489/,0,0,Videos,,,,,Lifetime,974,425,78,69,6,3,46,,46,0,5648.012,7.344,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays,15,1/30/2026 4:06,N/A,https://www.facebook.com/reel/1435167158215272/,0,0,Videos,,,,,Lifetime,932,415,79,68,9,2,40,,40,0,5344.26,7.422,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Rest day mood: music on, worries off 🎶

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Rest day mood: music on, worries off 🎶

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/29/2026 20:54,N/A,https://www.facebook.com/reel/3730376783760419/,0,0,Videos,,,,,Lifetime,1118,315,74,60,12,2,73,,73,0,7684.158,9.653,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Nilalamig din ba kayo, Kikays? Painitin muna natin 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Nilalamig din ba kayo, Kikays? Painitin muna natin 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/29/2026 2:57,uploaded,https://www.facebook.com/reel/1432024291882506/,0,0,Videos,,,,,Lifetime,2123,1218,91,82,7,2,60,,60,0,14336.515,8.768,0,0,0,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Wait ’til the end, Kikays 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Wait ’til the end, Kikays 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/28/2026 19:27,N/A,https://www.facebook.com/reel/953319173788030/,0,0,Videos,,,,,Lifetime,1421,625,85,71,12,2,73,,73,0,9447.375,9.075,0,0,0,,,
