Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Link Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Matched Audience Targeting Consumption (Video Click)
1.1905E+15,1.00069E+14,Juankada Zia,"Who says you're not perfect? 🤨

You guys are perfect in more ways than one!

💖Stay confident, sexy, and beautiful, Zianatics!💖

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics","Who says you're not perfect? 🤨

You guys are perfect in more ways than one!

💖Stay confident, sexy, and beautiful, Zianatics!💖

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",15,1/26/2026 1:00,N/A,https://www.facebook.com/reel/1473587724249929/,0,0,Videos,,,,,Lifetime,316,183,19,18,0,1,1,1,,,0,1630.145,6.221,0,0,0,,
1.1905E+15,1.00069E+14,Juankada Zia,"Squad's present! Serving looks and good vibes!👭👬 JuanKada Star Juankada Alexchoozy Juankada Evo

Present din ba ang Zianatics yesterday?🤔

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics","Squad's present! Serving looks and good vibes!👭👬 @[61585565286734:2048:JuanKada Star] @[61584327477246:2048:Juankada Alexchoozy] @[61584432221426:2048:Juankada Evo]

Present din ba ang Zianatics yesterday?🤔

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",15,1/25/2026 22:00,N/A,https://www.facebook.com/reel/25670986835898133/,0,0,Videos,,,,,Lifetime,309,163,6,5,0,1,2,2,,,0,1727.682,7.023,0,0,0,,
1.19013E+15,1.00069E+14,Juankada Zia,,,0,1/25/2026 9:09,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02xHoE4if2QPRB1jwTMUymYbkQP2vYSFdPXsEjs7w7dErYTBTXvFrL88y7s6ZWXzGRl&id=100068698221421,0,1,Photos,,,,,Lifetime,97,37,1,1,0,0,6,3,3,,0,,,,,,,
1.18958E+15,1.00069E+14,Juankada Zia,"Did everyone catch the live last night? 🤔

Catch me and the other Juankada Hosts in Color Game Live!

We have it everyday, Zianatics!💖

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics","Did everyone catch the live last night? 🤔

Catch me and the other Juankada Hosts in Color Game Live!

We have it everyday, Zianatics!💖

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",30,1/25/2026 3:00,N/A,https://www.facebook.com/reel/1815646079153418/,0,0,Videos,,,,,Lifetime,256,134,11,10,0,1,4,4,,,0,2180.966,10.239,0,0,0,,
1.18958E+15,1.00069E+14,Juankada Zia,"OOTD from last night’s live! 👗💛

As a demure girl ang atake💖

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",,0,1/25/2026 1:00,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0YLD3rj2datiBH1pFPa3VU2bzsaxHXUSPx1xkVwgcbXaQPfpce2qAqj5e1Az9pAekl&id=100068698221421,0,0,Photos,,,,,Lifetime,1258,555,32,25,6,1,108,34,74,,0,,,,,,,
1.18964E+15,1.00069E+14,Juankada Zia,,,0,1/24/2026 22:07,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02vkuB2WfNsWuTZspFCg62db4t4jrz1pVTMvqdC1uQPWivajvAD83BnQRLr4X6PEsdl&id=100068698221421,0,1,Text,,,,,Lifetime,48,41,2,2,0,0,5,5,,,0,,,,,,,
1.18958E+15,1.00069E+14,Juankada Zia,"Cute dance with the very gorgeous and one of my besties  Juankada Tanya💃

Who to collab next with, Zianatics?💖

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics","Cute dance with the very gorgeous and one of my besties  @[61586950821026:2048:Juankada Tanya]💃

Who to collab next with, Zianatics?💖

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",15,1/24/2026 22:00,N/A,https://www.facebook.com/reel/1214652330165164/,0,0,Videos,,,,,Lifetime,259,116,16,13,2,1,5,5,,,0,1277.232,6.483,0,0,0,,
1.18921E+15,1.00069E+14,Juankada Zia,,,0,1/24/2026 8:48,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02pM3GaRnmmuGUkssdxkxhXrbfy67N2bR88x78DWwatqKKtaSgW1aWiqMz6D52kZmjl&id=100068698221421,0,1,Photos,,,,,Lifetime,139,60,4,4,0,0,8,3,5,,0,,,,,,,
1.18867E+15,1.00069E+14,Juankada Zia,"Looking HOT in Hot Pink!💖

Agree ba kayo, Zianatics?🤔

Tara na sa Color Game Live ng Juan365 Studios!😁

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",,0,1/24/2026 5:00,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid022hZvdMWGEqY3CezBkNN4Y6AaADwV3Z3mRQ6Ao9svpgRdvZiyxfXok5RWxwdYP59ul&id=100068698221421,0,0,Photos,,,,,Lifetime,155,69,13,11,2,0,12,4,8,,0,,,,,,,
1.18866E+15,1.00069E+14,Juankada Zia,"💖Hi Zianatics!💖

Kahit ano pang oras or suot yan, Justin Bieber baby pa din😆

Curious ako, what's your fave JB song?

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics","💖Hi Zianatics!💖

Kahit ano pang oras or suot yan, Justin Bieber baby pa din😆

Curious ako, what's your fave JB song?

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",14,1/24/2026 2:00,N/A,https://www.facebook.com/reel/1771707990145214/,0,0,Videos,,,,,Lifetime,356,148,26,21,4,1,7,7,,,0,2347.403,8.536,0,0,0,,
