Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Link Clicks,Negative feedback from users: Hide all,Negative feedback from users: Hide
1.22148E+17,6.15841E+13,Juankada Ligaya,Sweetgurl,"Gusto mo ba yung ganito ka sweet? 😛

#fyp #trendingreel #dancechallenge #Ligaya",20,1/31/2026 3:48,N/A,https://www.facebook.com/reel/2177213443052786/,0,0,Videos,,,,,Lifetime,56446,44678,4511,4316,154,41,769,769,,0.09,317242.598,6.904,0,,,,,
1.22119E+17,6.15842E+13,Juankada Papa Joe,"Tito gaming si Papa Joe 😊 bagay ba white/gray hair? O gusto mo ibagay kita sakin? 🤣 lakas papa joe! 

See you guys live pa tayo till 2pm 💙🧡 

#Juan365 #juankadahosts #JuankadaPapaJoe",,0,2/28/2026 18:08,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0MoqpwBtTPq4QV33eiJ1e1CQYJ7mikW8pqwBe4whQPRneyTZ3qQSeQi3nj1b9nSj1l&id=61584233476725,0,0,Photos,,,,,Lifetime,326,184,78,77,0,1,15,5,10,0,,,,,,,,
1.22119E+17,6.15842E+13,Juankada Papa Joe,"Yesss!! Sungkit nanaman natin ang MINOR + x50 multiplier 🎲 araw-araw panalo dito araw araw may pa JACKPOT sa ColorGame Live ni Juan365 🥳🤯❤️

Tara saman niyo kami ni Juankada Shann Juankada Evo live tayo till 2pm guysz!!

#ALLINJUANLIVE #juankadahosts #juankadapapajoe",,0,2/27/2026 17:50,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid025ZaQdM8ozZwCZRrfC3n8MxCrJ4mPDiQjtKc2qK2eEgPNQReCRCanoosyUtyGopEMl&id=61584233476725,0,0,Photos,,,,,Lifetime,124,43,71,70,0,1,1,,1,0,,,,,,,,
1.22119E+17,6.15842E+13,Juankada Papa Joe,"I loveee black like🦇 Man!! 

See you tomorrow Juankada 6am - 2pm 💙🧡 🎲 

#Juan365PH #juankadahosts #Juan365Studios #JuankadaPapaJoe","I loveee black like🦇 Man!! 

See you tomorrow Juankada 6am - 2pm 💙🧡 🎲 

#Juan365PH #juankadahosts #Juan365Studios #JuankadaPapaJoe",39,2/27/2026 4:09,N/A,https://www.facebook.com/reel/1409330697013608/,0,0,Videos,,,,,Lifetime,3972,57,3,3,0,0,0,,,0,740.483,0.881,0,0,0,,,
1.22119E+17,6.15842E+13,Juankada Papa Joe,"Araw araw talaga ang saya dahil sa araw araw na pa TRIPLE at JACKPOT ng mga Juankada Host 🤩🤩🤩🥳🥳🥳🥰🥰🥰😍😍😍

See you tomorrow Juankada 6am - 2pm 💙🧡 🎲 

#Juan365PH #juankadahosts #Juan365Studios #JuankadaPapaJoe",,0,2/27/2026 1:42,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02oiMW6GdcULfi4R7M2ARyUw4qHuN3h7Uh2SzkrFEkc4GwRPugML5SAR342LS88CM3l&id=61584233476725,0,0,Photos,,,,,Lifetime,1010,543,35,30,4,1,72,19,53,0,,,,,,,,
1.22119E+17,6.15842E+13,Juankada Papa Joe,"Fel na Fel na naman ni Koya Wel oh 🎙️ 🤦🏻‍♂️🤣  

See you later Juankada 10am - 6pm ako mamaya 💙🧡 🎲 

#Juan365PH #juankadahosts #Juan365Studios #JuankadaPapaJoe","Fel na Fel na naman ni Koya Wel oh 🎙️ 🤦🏻‍♂️🤣  

See you later Juankada 10am - 6pm ako mamaya 💙🧡 🎲 

#Juan365PH #juankadahosts #Juan365Studios #JuankadaPapaJoe",65,2/26/2026 8:38,N/A,https://www.facebook.com/reel/1621822022304469/,0,0,Videos,,,,,Lifetime,4689,147,180,175,4,1,23,23,,0,2816.824,2.603,0,0,0,,,
1.22118E+17,6.15842E+13,Juankada Papa Joe,"Baka di kapa naka bisita at naka pili ng kulay sa dice ngayong araw, tara na Joekadaaa🫰🏻

Tara Juankada till 10pm pa tayo 💙🧡 🎲 

#Juan365PH #juankadahosts #Juan365Studios #JuankadaPapaJoe",,0,2/26/2026 2:52,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0HQqXXCDoVVfFz9ExShXEqY6Q9wnNitJhrbmHjwjSw2ZqSBwFsdGrdbTt7bK35mzkl&id=61584233476725,0,0,Photos,,,,,Lifetime,301,158,50,48,1,1,10,2,8,0,,,,,,,,
1.22118E+17,6.15842E+13,Juankada Papa Joe,"Pagod si Papa Joe antok na haha!  Bukas na ulit mga Juankadaaa 🥳😊🫰🏻

See again tomorrow 2pm - 10pm Joekadaaa 💙🧡 🎲 

#Juan365PH #juankadahosts #Juan365Studios #JuankadaPapaJoe",,0,2/25/2026 7:35,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02dM9okapHoGdsYR7TWqHh9JGCAggqu7BWU3eiJGj9coBWdupppdE7JV4fAek32naDl&id=61584233476725,0,0,Photos,,,,,Lifetime,219,108,35,34,0,1,4,,4,0,,,,,,,,
1.22118E+17,6.15842E+13,Juankada Papa Joe,"Grabeee solid sa pa premyo ang midshift today! 🤩🤩🤩🥳🥳🥳❤️

See again tomorrow 2pm - 10pm Joekadaaa 💙🧡 🎲 

#Juan365PH #juankadahosts #Juan365Studios #JuankadaPapaJoe","Grabeee solid sa pa premyo ang midshift today! 🤩🤩🤩🥳🥳🥳❤️

See again tomorrow 2pm - 10pm Joekadaaa 💙🧡 🎲 

#Juan365PH #juankadahosts #Juan365Studios #JuankadaPapaJoe",34,2/25/2026 6:27,N/A,https://www.facebook.com/reel/4533145946999265/,0,0,Videos,,,,,Lifetime,7878,61,39,39,0,0,1,1,,0,1549.578,0.955,0,0,0,,,
1.22118E+17,6.15842E+13,Juankada Papa Joe,"Malamang yung movie ng kanta nayan inabutan mo 🫣😊 syempre dahil 21 y.o and above ang pwede lang makapag laro sa Juan365. Org eh malamang inabutan mo ngayang metero garden 😁

See you later 2pm - 10pm Joekadaaa 💙🧡 🎲 

#Juan365PH #juankadahosts #Juan365Studios #JuankadaPapaJoe","Malamang yung movie ng kanta nayan inabutan mo 🫣😊 syempre dahil 21 y.o and above ang pwede lang makapag laro sa Juan365. Org eh malamang inabutan mo ngayang metero garden 😁

See you later 2pm - 10pm Joekadaaa 💙🧡 🎲 

#Juan365PH #juankadahosts #Juan365Studios #JuankadaPapaJoe",15,2/24/2026 18:10,N/A,https://www.facebook.com/reel/802052368909811/,0,0,Videos,,,,,Lifetime,3911,61,53,50,2,1,12,12,,0,1207.972,1.432,0,0,0,,,
