Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Link Clicks,Negative feedback from users: Hide
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Weekend glow check! ✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Weekend glow check! ✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/19/2026 20:59,N/A,https://www.facebook.com/reel/2425471471246301/,0,0,Videos,,,,,Lifetime,509,313,38,36,2,0,40,,40,0,3275.345,8.9,0,0,0,,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Baby do better, come let me get you together 🙈

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Baby do better, come let me get you together 🙈

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/19/2026 6:13,N/A,https://www.facebook.com/reel/1887147921926393/,0,0,Videos,,,,,Lifetime,616,209,48,40,6,2,26,,26,0,3277.754,6.786,0,0,0,,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Okay lang bang maging binibini mo? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Okay lang bang maging binibini mo? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/18/2026 19:55,N/A,https://www.facebook.com/reel/883562147816145/,0,0,Videos,,,,,Lifetime,1034,319,74,64,9,1,46,,46,0,6768.01,9.109,0,0,0,,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Sasabay o sasabay? 🛗 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Sasabay o sasabay? 🛗 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",13,2/18/2026 3:04,N/A,https://www.facebook.com/reel/1234929648706070/,0,0,Videos,,,,,Lifetime,947,273,56,50,5,1,22,,22,0,5296.564,7.407,0,0,0,,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Sino sasabay elevator? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Sino sasabay elevator? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/17/2026 20:00,uploaded,https://www.facebook.com/reel/693108593887870/,1,0,Videos,,,,,Lifetime,828,227,61,52,7,2,41,,41,0,5006.777,7.947,0,0,0,,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays,16,2/17/2026 3:05,N/A,https://www.facebook.com/reel/2823837111407845/,0,0,Videos,,,,,Lifetime,283,169,22,18,4,0,16,,16,0,1839.553,9.29,0,0,0,,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"didn’t come to play, came to slay 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","didn’t come to play, came to slay 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",18,2/16/2026 21:39,N/A,https://www.facebook.com/reel/1230082049254651/,0,0,Videos,,,,,Lifetime,819,234,56,48,6,2,34,,34,0,4923.109,7.752,0,0,0,,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"As beautiful as the sunset 🌅

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","As beautiful as the sunset 🌅

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",8,2/16/2026 2:22,N/A,https://www.facebook.com/reel/773663932463577/,0,0,Videos,,,,,Lifetime,1260,322,67,59,5,3,21,,21,0,5607.411,6.691,0,0,0,,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Ready na ‘ko sa saya at swerte! Join na sa Color Game live, Kikays! 🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,2/15/2026 21:36,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0QWZG5qjYQegjFWc1LbLEi48oFsA6PMXHnBK7mEMj4QPECq97PMsVquL246vSZ97Cl,0,0,Photos,,,,,Lifetime,856,353,30,23,7,0,92,68,24,0,,,,,,,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays,15,2/15/2026 3:28,N/A,https://www.facebook.com/reel/928548366531327/,0,0,Videos,,,,,Lifetime,323,191,25,23,2,0,23,,23,0,2198.165,9.641,0,0,0,,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Looking so sweet 🫦

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Looking so sweet 🫦

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/14/2026 20:42,N/A,https://www.facebook.com/reel/2025623075028589/,0,0,Videos,,,,,Lifetime,1074,330,59,42,7,10,19,,19,0,4679.714,5.525,0,0,0,,,
