Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Link Clicks,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Matched Audience Targeting Consumption (Video Click)
1.22111E+17,6.15843E+13,Juankada Alexchoozy,"Good morning, Ka-Chooziness! ✨

Simula na ang good vibes at saya today dito sa Juan365 Colorgame Live. Catch us today from 6am to 2pm. Kasama sina Juankada Papa Joe, Juankada Jedi at JuanKada Star.

👉 Comment HERE kung present ka na at game na makilaro ⬇️

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",,0,1/4/2026 15:03,N/A,https://www.facebook.com/JuankadaAlexchoozyOfficialPage/posts/pfbid0CfcAXwwos6bio1rnPXEyzuiFN6MxVvoa3VgpQEKX1qhLasXtey2aqNLSx71fG9Hgl,0,0,Photos,,,,,Lifetime,902,392,32,26,2,4,34,16,18,,,,,,,,
1.22111E+17,6.15843E+13,Juankada Alexchoozy,BACK TO WORK,"Tama na ang gala, back to ipon tayo. Monday na bukas, WORK na tayo ulit! Choozy paba??? 🤣 See you all tomorrow mga juankada!

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",29,1/4/2026 6:32,N/A,https://www.facebook.com/reel/742473622254065/,0,0,Videos,,,,,Lifetime,163,114,17,15,1,1,3,3,,,767.872,5.817,0,0,0,,
1.22111E+17,6.15843E+13,Juankada Alexchoozy,"𝐆𝐮𝐬𝐭𝐨 𝐚𝐰𝐚𝐲!! 𝐊𝐚𝐢𝐧 𝐚𝐲𝐚𝐰? Aba, all in sa saya! 🎉","𝐆𝐮𝐬𝐭𝐨 𝐚𝐰𝐚𝐲!! 𝐊𝐚𝐢𝐧 𝐚𝐲𝐚𝐰? Aba, all in sa saya! 🎉

Tara na, Ka-Chooziness, mag-enjoy tayo! 🧡💙

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes #MakulayNaSaya #FunMode",29,1/4/2026 2:00,N/A,https://www.facebook.com/reel/2231752854250733/,0,0,Videos,,,,,Lifetime,224,156,30,24,6,0,20,20,,,1382.402,7.99,0,0,0,,
1.22111E+17,6.15843E+13,Juankada Alexchoozy,"𝐋𝐞𝐭’𝐬 𝐝𝐚𝐧𝐜𝐞 𝐚𝐧𝐝 𝐞𝐧𝐣𝐨𝐲, 𝐊𝐚-𝐂𝐡𝐨𝐨𝐳𝐢𝐧𝐞𝐬𝐬","𝐋𝐞𝐭’𝐬 𝐝𝐚𝐧𝐜𝐞 𝐚𝐧𝐝 𝐞𝐧𝐣𝐨𝐲, 𝐊𝐚-𝐂𝐡𝐨𝐨𝐳𝐢𝐧𝐞𝐬𝐬!

Hit ❤️ kung ready ka na sa good vibes! ✨

 #JuankadaVibes #GoodVibesOnly #FeelTheVibes #DanceMode #JuankadaAlexchoozy #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",15,1/3/2026 23:04,N/A,https://www.facebook.com/reel/1531720057942254/,0,0,Videos,,,,,Lifetime,342,234,23,20,3,0,31,31,,,2082.351,8.329,0,0,0,,
1.22111E+17,6.15843E+13,Juankada Alexchoozy,𝑺𝑼𝑵𝑫𝑨𝒀 𝒊𝒔 💚,"𝑺𝑼𝑵𝑫𝑨𝒀 𝒊𝒔 💚

Let’s make our SUNDAY a fruitful JUAN! Inhale, exhale at bukas, BACK to WORK na! Kayod na tayo ulit! See you tom mga ka-chooziness! All in JUAN sa SAYA ang everyJUAN! 🥰

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",34,1/3/2026 19:16,N/A,https://www.facebook.com/reel/1882152469077005/,0,0,Videos,,,,,Lifetime,129,98,12,12,0,0,5,5,,,659.99,5.892,0,0,0,,
1.22111E+17,6.15843E+13,Juankada Alexchoozy,COLORGAME ❤️💚🩷🤍💙💛,"Ka-chooziness! It’s a COLORFUL SUNDAY! Ano sa tingen mo ang KULAY that best describes you? Pakulitan tayo ng sagot!

TARA! Magtawanan tayo 🤣

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",36,1/3/2026 16:00,N/A,https://www.facebook.com/reel/1359256842547950/,0,0,Videos,,,,,Lifetime,133,95,14,13,0,1,4,4,,,668.644,6.023,0,0,0,,
1.2211E+17,6.15843E+13,Juankada Alexchoozy,"Ka-Chooziness! 6 colors, 1 choice anong trip mo ngayon?

Alin sa kulay ang swak sa feelings mo tonight? I-Comment na yan at piliin natin ang pinaka nakakatawang sagot o hugot? 🤣

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes #ColorTrip #PinakaNakakatawa #CommentGame #FunVibes #TrendingNow",,0,1/3/2026 6:19,N/A,https://www.facebook.com/JuankadaAlexchoozyOfficialPage/posts/pfbid029WgHznawjUsVrr2J2RWPHiE7FWt5nG7gTFTuvnTqpyvHZUaL35K6oYByH5mLh8ePl,0,0,Photos,,,,,Lifetime,522,240,22,17,2,3,13,2,11,,,,,,,,
1.2211E+17,6.15843E+13,Juankada Alexchoozy,NANDITO AKO 🥰,"“Ngunit ganun pa man, nais kong malaman mo, Ang puso kong ito’y para lang sayo”

Sabado-Oke tayo Juankada, sa Lunes, kakantahan ko ulit kayo. Miss you all 🥰

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",41,1/3/2026 0:31,N/A,https://www.facebook.com/reel/1446191056864412/,0,0,Videos,,,,,Lifetime,228,157,20,17,2,1,5,5,,,1498.083,8.511,0,0,0,,
1.2211E+17,6.15843E+13,Juankada Alexchoozy,"Hi Juankada, today is my restday pero di tayo titigil to give FUN and SHARE our Talent to everyJUAN. Sharing you some clips from my Hosting Gig. See you all on Monday 🥰 

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes","Hi Juankada, today is my restday pero di tayo titigil to give FUN and SHARE our Talent to everyJUAN. Sharing you some clips from my Hosting Gig. See you all on Monday 🥰 

#JuankadaAlexchoozy  #CommentYourThoughts #TagAFriend #Followme #KaChooziness! #Juan365 #AllInJuanSaSaya #Juan365Studios #SweetEnergy #DailyBeautyVibes",78,1/2/2026 18:50,N/A,https://www.facebook.com/reel/962830533003582/,0,0,Videos,,,,,Lifetime,226,137,32,22,9,1,8,8,,,1936.552,10.64,0,0,0,,
1.2211E+17,6.15843E+13,Juankada Alexchoozy,Juankada Alexchoozy updated his cover photo.,,0,1/2/2026 18:39,N/A,https://www.facebook.com/photo.php?fbid=122110408779144249&set=a.122095215045144249&type=3,0,0,Photos,,,,,Lifetime,2,1,26,24,2,0,0,,,,,,,,,,
