"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks",Views,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions","Negative feedback from users: Hide all","Matched Audience Targeting Consumption (Photo Click)","Link Clicks"
122127198105011249,61580337497087,"Juana Babe Ashley","Aminin mga babes, di kayo makahanap ng katulad ko 💁🏻‍♀️😜

Drop ♥️ share and comment kung agree ka 🤭

#2026 #Unbothered #CommentYourThoughts #TagAFriend #Followme #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBabeAshley #DailyBeautyVibes","Aminin mga babes, di kayo makahanap ng katulad ko 💁🏻‍♀️😜

Drop ♥️ share and comment kung agree ka 🤭

#2026 #Unbothered #CommentYourThoughts #TagAFriend #Followme #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBabeAshley #DailyBeautyVibes",9,"01/03/2026 04:01",mixed,https://www.facebook.com/reel/1930164257904573/,1,0,Reels,,,,,Lifetime,4315,566,535,19,12,50,50,5571,19164.094,4.351,0,,0,,,
122127193305011249,61580337497087,"Juana Babe Ashley","Hanap mo ba ang saya, kulitan, at surpresa? 🎉
Manood na sa Juan365 Live Stream! 🫶🏻

#juanababes #TheResponsibleJuan #Juan365livestream #AllInJuanSaSaya #JuanKada #Juan365PH",,0,"01/03/2026 03:32",N/A,https://www.facebook.com/JuanababeAshley/posts/pfbid0REMYgEfH3SU9u3xwh3fetkiNWK8dR3ngJoZUR9hQYsdq36hW8cTFXsr5wNo9kJU8l,0,1,Live,,,,,Lifetime,257,4,4,0,0,5,5,,,,,,,,,
122127158847011249,61580337497087,"Juana Babe Ashley","Ayaw pa kasi kalimutan eh 😩

 Hit ♥️  and comment kung gusto mong tulungan kita makalimot 🤗

#MoveOn #2026 #NewYearNewMe #CommentYourThoughts #TagAFriend #Followme #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBabeAshley #DailyBeautyVibes","Ayaw pa kasi kalimutan eh 😩

 Hit ♥️  and comment kung gusto mong tulungan kita makalimot 🤗

#MoveOn #2026 #NewYearNewMe #CommentYourThoughts #TagAFriend #Followme #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBabeAshley #DailyBeautyVibes",12,"01/03/2026 01:01",mixed,https://www.facebook.com/reel/3439859262832587/,1,0,Reels,,,,,Lifetime,10284,1329,1283,35,11,132,132,12950,59010.231,5.727,0,,0,,,
122127126513011249,61580337497087,"Juana Babe Ashley","Nabulok nalang talaga 🫠

Leave a ♥️ and tag mo friend mong pwede pag gamitan ng sweet side ko🫣

#SweetEnergy  #MalambingSideUnlocked #CommentYourThoughts #TagAFriend #Followme #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBabeAshley #DailyBeautyVibes","Nabulok nalang talaga 🫠

Leave a ♥️ and tag mo friend mong pwede pag gamitan ng sweet side ko🫣

#SweetEnergy  #MalambingSideUnlocked #CommentYourThoughts #TagAFriend #Followme #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBabeAshley #DailyBeautyVibes",7,"01/02/2026 21:36",N/A,https://www.facebook.com/reel/873054039014393/,0,0,Reels,,,,,Lifetime,5959,678,634,26,18,108,108,8420,31024.352,5.286,0,,0,,,
122126944623011249,61580337497087,"Juana Babe Ashley","Juankada, Happy New Year! 🎆
Let’s kick off 2026 with greetings, good vibes, and fun kasama sina Juana Babe Sena at Juana Babe Ashley 😎

#juanababes #TheResponsibleJuan #Juan365livestream #AllInJuanSaSaya #JuanKada #Juan365PH",,0,"01/02/2026 03:29",N/A,https://www.facebook.com/JuanababeAshley/posts/pfbid02NxKRxkeVNhx7r5qFWq97atmUXiWTUG8r12vCevHCvd4GjYq8eQFBedQEojAZ4ebXl,0,1,Live,,,,,Lifetime,355,8,8,0,0,18,18,,,,,,,,,
122126932377011249,61580337497087,"Juana Babe Ashley","Hi, mga babes. Wearing the lucky color of the year 🤍

Hit ♥️ and comment kung agree kang swerte talaga siya 😊 

#Pantone #LuckyColor #2026 #Beauty #JuanaBabeAshley #CommentYourThoughts #TagAFriend #Followme #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBabeAshley #SweetEnergy #DailyBeautyVibes",,0,"01/02/2026 03:01",N/A,https://www.facebook.com/JuanababeAshley/posts/pfbid02DrHe6rWAi54cargevoQwt9SnnKNkZCWEipoG2QXqL3hU8EXpoAhhPTxMoQ4TKW3El,0,0,Photos,,,,,Lifetime,1535,202,174,20,8,147,74,3173,,,,,,1,73,
122126873787011249,61580337497087,"Juana Babe Ashley","Always gonna be your sweet asian chick 😜🤍

Leave ♥️ comment and don't forget to share mga babes🥰

#LowaMane #AsianChick #Beauty #JuanaBabeAshley #CommentYourThoughts #TagAFriend #Followme #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBabeAshley #SweetEnergy #DailyBeautyVibes","Always gonna be your sweet asian chick 😜🤍

Leave ♥️ comment and don't forget to share mga babes🥰

#LowaMane #AsianChick #Beauty #JuanaBabeAshley #CommentYourThoughts #TagAFriend #Followme #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBabeAshley #SweetEnergy #DailyBeautyVibes",14,"01/01/2026 21:34",N/A,https://www.facebook.com/reel/1344164034129699/,0,0,Reels,,,,,Lifetime,10897,1429,1382,23,24,140,140,13059,60402.454,5.657,0,,0,,,
122126779887011249,61580337497087,"Juana Babe Ashley","Plorera ang atake natin today mga babes💐💞

Drop ♥️ and don't forget to share pampaswerte mo ngayong New Year 😘

#Floral #Flower #Simple #Beauty #JuanaBabeAshley #CommentAndShare #TagAFriend #Followme #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBabeAshley #SweetEnergy #DailyBeautyVibes",,0,"01/01/2026 06:00",N/A,https://www.facebook.com/JuanababeAshley/posts/pfbid02oQQs7dX86RnAwL3ErYVBiSeQ8twjdnd6LnSv3JmGCaRvxQ1huZd4uHgKZ1NeEjbtl,0,0,Photos,,,,,Lifetime,1324,137,115,17,5,68,47,2509,,,,,,,21,
122126743041011249,61580337497087,"Juana Babe Ashley","2026 na di ka na kasama sa 'king mga plano 💁🏻‍♀️

Hit ♥️and comment kung di na din kayo marupok mga babes 😌🥳

#WalaNangImissyou #Beauty #JuanaBabeAshley #CommentAndShare #TagAFriend #Followme #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBabeAshley #SweetEnergy #DailyBeautyVibes","2026 na di ka na kasama sa 'king mga plano 💁🏻‍♀️

Hit ♥️and comment kung di na din kayo marupok mga babes 😌🥳

#WalaNangImissyou #Beauty #JuanaBabeAshley #CommentAndShare #TagAFriend #Followme #Juanababes #Juan365 #AllInJuanSaSaya #Juan365livestream #JuanaBabeAshley #SweetEnergy #DailyBeautyVibes",16,"01/01/2026 02:32",N/A,https://www.facebook.com/reel/1258491313003264/,0,0,Reels,,,,,Lifetime,32077,2764,2698,31,35,570,570,36858,159108.574,5.275,0,,0,,,
122117883009013186,61580395595183,"Juana Babe Jam","🎇 FIRST LIVE. FIRST VIBES. 🎇

Pasok na kayo, Juankada! 🥰
Bagong taon, bagong energy kasama sina Juana Babe Ashleyy at Juana Babe Senaa 😉✨

Hindi pwedeng wala ka dito!

👉 Follow, share, at mag-comment na!",,0,"01/02/2026 03:29",N/A,https://www.facebook.com/JuanababeJam/posts/pfbid04DnhLsKzJ54nGRDF3rwS4TFXDzvvHRzrK1NJLNqwG6TUJBv12ouDLm48bPKAGCcAl,0,1,Live,,,,,Lifetime,113,8,8,0,0,25,25,,,,,,
