page_id,page_name,page_url,fan_count,followers_count,talking_about_count,overall_star_rating,rating_count,is_competitor,created_at,updated_at,category,link,website,picture_url,cover_url,about,description,location
61561495390240,JUANKada Host Ikay,,,,,,,0,2026-01-05T13:48:50.766970,2026-01-06T09:33:30.635787,juankada,,,,,,,
61585565286734,JuanKada Star,,,,,,,0,2026-01-05T13:48:50.770739,2026-01-06T09:33:30.636579,juankada,,,,,,,
61585679673115,Juankada Ellise,,,,,,,0,2026-01-05T13:48:50.772924,2026-01-06T09:33:30.637361,juankada,,,,,,,
61565865626361,Juankada Geoff,,,,,,,0,2026-01-05T13:48:50.773527,2026-01-06T09:33:30.637673,juankada,,,,,,,
100064672885113,Juankada host Drae,,,,,,,0,2026-01-05T13:48:50.777074,2026-01-06T09:33:30.638864,juankada,,,,,,,
927370847106754,JuanKada Evo,,,,,,,0,2026-01-08T13:17:55.746626,2026-01-08T13:17:55.746626,,,,,,,,
874628665737433,JuanKada Papa Joe,,,,,,,0,2026-01-08T13:17:55.746626,2026-01-08T13:17:55.746626,,,,,,,,
924225234111144,JuanKada Charm,,,,,,,0,2026-01-08T13:17:55.746626,2026-01-08T13:17:55.746626,,,,,,,,
882499904951305,JuanKada Lance,,,,,,,0,2026-01-08T13:17:55.746626,2026-01-08T13:17:55.746626,,,,,,,,
862622980275034,JuanKada Shann,,,,,,,0,2026-01-08T13:17:55.746626,2026-01-08T13:17:55.746626,,,,,,,,
858606287343265,JuanKada Jedi,,,,,,,0,2026-01-08T13:17:55.746626,2026-01-08T13:17:55.746626,,,,,,,,
876401548892955,JuanKada Sabbie,,,,,,,0,2026-01-08T13:17:55.746626,2026-01-08T13:17:55.746626,,,,,,,,
959243183930083,JuanKada Ligaya,,,,,,,0,2026-01-08T13:17:55.746626,2026-01-08T13:17:55.746626,,,,,,,,
897960886734144,JuanKada Alexchoozy,,,,,,,0,2026-01-08T13:17:55.746626,2026-01-08T13:17:55.746626,,,,,,,,
